groupname;edgedensity;transitivity;assortativity;reciprocity
ID;0,186;0,581;-0,197;0,665
ECR;0,164;0,752; 0,243;0,675
EPP;0,155;0,467;-0,221;0,542
Renew;0,277;0,571;-0,255;0,592
S&D;0,155;0,479;-0,113;0,604
Greens/EFA;0,381;0,692;-0,197;0,620
GUE/NGL;0,357;0,648;-0,230;0,607
NI;0,377;0,931; 0,660;0,871
