user;user_id
1100499396041625601;92233525
1100499396041625601;110963318
1100499396041625601;3302560545
1100499396041625601;1107063220307746816
1100499396041625601;1118740158
1100499396041625601;1934463319
1100499396041625601;101561338
1100499396041625601;2200120927
1100499396041625601;104782747
1100499396041625601;993849096
1100499396041625601;897947522
1100499396041625601;117029568
1100499396041625601;628396879
1100499396041625601;146101077
1100499396041625601;284067858
907625645773086720;856010760
907625645773086720;594798146
907625645773086720;2803587655
907625645773086720;3108154565
907625645773086720;189082017
907625645773086720;2472445567
907625645773086720;20399735
907625645773086720;1704818077
2195622679;1118895627394482177
2195622679;33248043
2195622679;72277900
2195622679;1118820762633285633
2195622679;114332714
2195622679;3292756634
2195622679;4022826012
2195622679;87306292
2195622679;2615239693
2195622679;15061445
2195622679;24181511
2195622679;66691158
2195622679;102918775
2195622679;311951299
2195622679;529247064
2195622679;581103570
2195622679;813738259
2195622679;2262477443
2195622679;2443718293
2195622679;2680186468
2195622679;2425184299
2195622679;2803444640
2195622679;116407356
2195622679;2780234221
2195622679;306868006
2195622679;631767111
2195622679;1135141640
2195622679;1368850908
2195622679;2343845391
2195622679;143393223
2195622679;2424047370
1124950201523941376;406110645
1124950201523941376;112873259
1124950201523941376;1118030533219508225
1124950201523941376;2585792659
91314199;28640933
91314199;33248043
91314199;323111954
91314199;18765850
91314199;1113577805256773632
91314199;2803587655
91314199;329815445
91314199;4706135422
91314199;1560926802
91314199;87306292
91314199;1249695476
91314199;4171877789
91314199;424164598
91314199;138689410
91314199;529247064
91314199;238520837
91314199;2461432297
91314199;435714725
91314199;1558588135
91314199;104782747
91314199;55207471
1149649381286711296;3351784787
1149649381286711296;169843986
1149649381286711296;117705468
1149649381286711296;9234892
1149649381286711296;257332880
1149649381286711296;154110601
939966774;110695283
939966774;222269705
939966774;337259737
939966774;3019838428
939966774;322551792
939966774;10622932
939966774;163029352
939966774;290206732
939966774;380234100
939966774;117773253
939966774;829032654
939966774;34423857
939966774;145297666
939966774;9234892
939966774;582076945
939966774;900231078
939966774;15061445
939966774;153388751
939966774;449951300
939966774;381969506
1301100498;832097871893770240
1301100498;149441850
1301100498;16606874
1301100498;29032586
1301100498;306868006
1301100498;1133457388038688768
1301100498;115702103
1301100498;454779231
1301100498;2790295109
1301100498;2281217988
1301100498;338308200
1301100498;55059675
1301100498;19017675
1301100498;1086696404
1301100498;900231078
1301100498;20344328
1301100498;300876743
1301100498;493494710
1301100498;19763668
1301100498;20610385
1301100498;28640933
1301100498;92337227
1301100498;37643162
1301100498;1374683634
1301100498;829060856
1301100498;1354570123
1301100498;23056912
1301100498;1719936289
1301100498;40363629
1301100498;16705726
1301100498;16600393
1301100498;560188351
1301100498;1347250338
1301100498;45360352
1301100498;28257421
1301100498;165786404
1301100498;726372601
1301100498;103819197
60264136;252625352
60264136;404894090
60264136;93709885
60264136;23056912
60264136;89431845
60264136;117761523
60264136;92233525
60264136;135430876
932563111;29032586
932563111;117761523
932563111;493494710
932563111;819843415
932563111;16600393
932563111;833300465039319040
932563111;17621447
932563111;1085967618446643200
932563111;1586266080
932563111;1114920226393612288
932563111;856010760
932563111;20399735
932563111;23056912
102979056;18765850
102979056;104777237
102979056;705011648558473220
102979056;92233525
102979056;578240398
102979056;714000438
102979056;825815009041203201
102979056;28397950
102979056;34616856
192877061;571948562
192877061;743724264
192877061;2850651695
192877061;2281217988
192877061;3295882694
192877061;35877137
192877061;85794542
192877061;726372601
192877061;2461432297
192877061;1347250338
192877061;45360352
192877061;1870872692
192877061;37643162
192877061;116407356
192877061;856010760
192877061;392199690
192877061;136333369
192877061;2289930074
192877061;19017675
192877061;93709885
192877061;3292756634
192877061;948552829
192877061;1225229076
192877061;54172831
192877061;249601317
192877061;1354570123
192877061;385326089
192877061;23056912
192877061;819843415
192877061;21440665
192877061;322529131
192877061;26586771
192877061;97452095
16606874;544312946
16606874;819843415
16606874;718106057416052741
16606874;1860459990
16606874;1097491939681804288
16606874;190955270
16606874;1354570123
16606874;4577469077
16606874;55031092
16606874;20228586
16606874;103819197
16606874;2850651695
16606874;23967604
16606874;116407356
16606874;18578222
16606874;789179329854869507
16606874;300876743
16606874;1121176705027248128
16606874;25057713
16606874;49950808
16606874;146101077
16606874;582076945
16606874;628396879
16606874;2785158383
16606874;2904048473
16606874;3318542685
16606874;4022826012
16606874;708168822868418560
16606874;120109196
16606874;54988878
16606874;743724264
