name;twitter_name;group;natparty;country;twitter_id
Adam BIELAN;AdamBielan;European Conservatives and Reformists Group;Prawo i Sprawiedliwość;Poland;40022142
Stéphane BIJOUX;StephaneBIJOUX;Renew Europe Group;La République en marche;France;1083411992
Izaskun BILBAO BARANDICA;IzaskunBilbaoB;Renew Europe Group;Partido Nacionalista Vasco;Spain;1870872692
Vladimír BILČÍK;VladoBilcik;Group of the European People's Party (Christian Democrats);SPOLU – občianska demokracia;Slovakia;3129707609
Dominique BILDE;DominiqueBilde;Identity and Democracy Group;Rassemblement national;France;3065992036
Gabriele BISCHOFF;gabischoff;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Sozialdemokratische Partei Deutschlands;Germany;3541939462
Benoît BITEAU;Identi_Terre;Group of the Greens/European Free Alliance;Europe Écologie;France;601028185
Mara BIZZOTTO;marabizzotto;Identity and Democracy Group;Lega;Italy;890601120040615936
Malin BJÖRK;MalinBjork_EU;Confederal Group of the European United Left - Nordic Green Left;Vänsterpartiet;Sweden;2289930074
Vasile BLAGA;SenatulRomaniei;Group of the European People's Party (Christian Democrats);Partidul Naţional Liberal;Romania;760696944
Michael BLOSS;michabl;Group of the Greens/European Free Alliance;Bündnis 90/Die Grünen;Germany;20344328
Andrea BOCSKOR;AndreaBocskor;Group of the European People's Party (Christian Democrats);Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt;Hungary;871783295813660677
Damian BOESELAGER;d_boeselager;Group of the Greens/European Free Alliance;Volt;Germany;832097871893770240
Franc BOGOVIČ;Franc_Bogovic;Group of the European People's Party (Christian Democrats);Slovenska ljudska stranka;Slovenia;2803444640
Manuel BOMPARD;mbompard;Confederal Group of the European United Left - Nordic Green Left;La France Insoumise;France;250323361
Simona BONAFÈ;simonabonafe;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Partito Democratico;Italy;391945446
Paolo BORCHIA;PaoloBorchia;Identity and Democracy Group;Lega;Italy;2585792659
Biljana BORZAN;BiljanaBorzan;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;Socijaldemokratska partija Hrvatske;Croatia;1560926802
Marc BOTENGA;BotengaM;Confederal Group of the European United Left - Nordic Green Left;Parti du Travail de Belgique;Belgium;1055950916
